Catalog Number,Title,Composer,Count,Bible Verse Reference,General Liturgical Season,Narrative Lectionary Weeks,Themes / Topics,Parts,Last Performed,Recording Link
100,First Song of Isaiah.,Noble White/Dengler,23,Isaiah 12:2–6,General,,Salvation,,,
101,I'll Sing,Molly Ijames,23,Psalm 104:33–34,Psalms,,Lifelong Praise,,,
102,Let Me Walk With You,Osiek,23,Matthew 16:24; Luke 5:1–11,Lent,NL129 | NL323,Discipleship,,,
103,Consecration,Habergal/Beck,20,Romans 12:1,Epiphany,,Dedication,,,
104,A Grateful Heart,Schram,21,Psalm 100:4; 1 Thess 5:18,Thanksgiving,,Gratitude,,,
105,A Joyful Song,Rocherolle,23,Psalm 98:4; Psalm 100:1,General,,Joy,,,
106,All My Life,Canimchgul/Purifoy,23,Psalm 36:5–9; 1 Chron 28:9,General,,God’s Love,,,
107,A Little Light Was Born,Barrett,24,Isaiah 9:2; Matthew 2:1,Christmas,NL120 | NL411,Light,,,
108,The Alfred Burt Carols,Burt,.,Luke 2:1–20; Matthew 2:1–12,Christmas,NL117 | NL118 | NL120 | NL217 | NL218 | NL317 | NL318 | NL417 | NL418,Nativity,,,
109,I Know That My Redeemer Lives,Larson,20,Job 19:25–27; 1 Cor 15:20,Easter,NL245,Resurrection,,,
111,Revive Us Again,Milloy,15,Psalm 85:6; Habakkuk 3:2,General,,Revival,,,
112,I Will Follow Him,Stole/Roma,34,Ruth 1:16–17; Matthew 16:24,General,NL129 | NL206,Commitment,,,
113,The Lord Almighty Reigns,Getty,20,Revelation 19:6; Psalm 93,Easter,,Sovereignty,,2025-05-03,
114,Blessed Are They,Lee Dengler,28,Matthew 5:1–12,General,NL123,Beatitudes,,2026-09-27,
115,A Tiny Little Baby,Price/Besig,24,Luke 2:7–12; Matthew 2:1–2,Christmas,NL117 | NL118 | NL120 | NL217 | NL218 | NL317 | NL318 | NL417 | NL418,Birth of Jesus,,,
116,Above the Hills of Time,.,24,Psalm 121; Matthew 17:1–8,General,NL129,Guidance,,,
117,Open My Eyes,Nolan,28,Psalm 119:18; Isaiah 35:5,General,,Insight,,,
118,An Advent Credo,Martin,25,Luke 1:46–55; Isaiah 40:1–8,Advent,NL214 | NL316,Hope,,,
119,Agnus Dei,.,.,John 1:29,Cantata,NL419,Lamb of God,,,
120,All Hail the Power of Jesus' Name,Shrubsole/Cartford,18,Philippians 2:9–11; Rev 19:16,General,NL445,Lordship,,2013-11-24,
121,All in the April Evening,Roberton,23,John 1:29; Isaiah 53:7,Lent,NL419,Suffering Servant,,,
122,O Holy Night,Lanier,10,Luke 2:8–14,Christmas,NL117 | NL118 | NL217 | NL218 | NL317 | NL318 | NL417 | NL418,Birth of Jesus,,,
123,Alleluia,Bach,22,Rev 19:1–6,General,,Universal Praise,,,
124,Alleluia,Thompson,.,Rev 19:1–6,General,,Universal Praise,,,
125,Via Dolorosa,Fittke,10,Mark 15:1–37; Isaiah 53:3–7,Lent,NL238,Suffering,,,
127,Lift Up Your Heads,Sharkley,.,Psalm 24:7–10,Advent,,King of Glory,,,
128,Come to the Water,Foley,.,Isaiah 55:1; John 4:10–14,General,NL415 | NL424,Living Water,,,
129,"Alleluia, Glorious Is Thy Name",Olson,27,Psalm 8:1; Rev 19:1,General,,God’s Name,,,
130,The River Is Here,Park/Greer,30,Psalm 46:4; Ezekiel 47:1–12,General,,Holy Spirit,,,
131,Always By Our Side,Burrows/McDonald,.,Psalm 23; Matthew 28:20,General,NL140,God’s Presence,,,
132,Amazing Grace,Coates,.,1 Chron 17:16–17; Eph 2:8,General,,Grace,,,
133,Amen,Hairston,1,Rev 7:12; 2 Cor 1:20,General,,Affirmation,,,
135,An Easter Fanfare,Besig/Price,2,Matthew 28:1–6; 1 Cor 15:55,Easter,NL139,Resurrection,,,
137,Offering,Baloche/Schrader,35,Romans 12:1; 2 Samuel 24:24,General,,Dedication,,,
140,"Arise, Shine",North,23,Isaiah 60:1–6,Epiphany,,Light,,,
142,Holy Is the Lord,Robinson/Rhodes,35,Isaiah 6:3; Rev 4:8,General,NL311,Holiness,,,
143,My Soul Magnifies the Lord,Tomlin/Maudlin,20,Luke 1:46–55,Christmas,NL316,Humility,,,
144,As the Deer,Nystrom/Wilson,27,Psalm 42:1,General,,Spiritual Thirst,,2025-11-30,
146,Ave Verum Corpus,Mozart,21,John 6:51–58; John 19:34,Lent,NL426 | NL438,Eucharist,,,
148,He is Watching Over Israel,Mendelssohn,50,Psalm 121:4,General,,God’s Care,,,
149,Hallelujah He is Risen,Harland,31,Matthew 28:6; 1 Cor 15:20,Easter,NL139 | NL245,Resurrection,,,
150,Away in a Manger,Martin,24,Luke 2:7,Christmas,NL117 | NL217 | NL317 | NL417,Nativity,,,
151,And the Glory of the Lord,Handel,20,Isaiah 40:5,General,NL214,Glory,,,
152,Awesome Medley,Innes,21,Psalm 47:2; Psalm 66:3,General,,God’s Power,,,
153,Arise My Love,Krogstad,36,Song of Solomon 2:10–13,Easter,,Resurrection,,,
155,Be Thou My Vision,Godfrey,.,Psalm 16:11; 1 Cor 13:12,General,NL244,Guidance,,,
